lookbacks,weights,rebalance_band,algo_dollar_limit,default_dollar_limit,signal_clip,momentum_lookback,momentum_weight,regime_vol_short,regime_vol_long,regime_threshold,regime_scale,signal_ema_alpha,xs_lookback,xs_weight,xs_include_algo,pairs_lookback,pairs_weight,pairs_entry_z,algo_signal_scale,algo_hedge_weight,ols_lookback,ols_weight,ols_entry_z,ols_intercept,mpairs_lookback,mpairs_weight,mpairs_top_k,mpairs_entry_z,mpairs_min_corr,adaptive_band_vol_lb,adaptive_band_scale,signal_clip_long,signal_clip_short,label,score,mean_pl,sharpe,dvol,fold1,fold2,fold3,robust
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.0,0.9,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.00 clipS=0.90,241.34,272.24,2.794,27686737.0,260.49,221.9,298.18,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.0,0.85,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.00 clipS=0.85,240.16,269.57,2.857,26862528.0,251.27,229.73,285.41,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.0,1.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00,238.85,273.22,2.636,29261309.0,276.58,192.17,316.81,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.1,1.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.10 clipS=1.00,236.86,272.02,2.596,29918318.0,287.4,188.09,315.13,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.15,1.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.15 clipS=1.00,236.58,272.3,2.574,30198247.0,286.76,187.16,318.05,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.1,0.9,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.10 clipS=0.90,236.2,268.3,2.713,28418310.0,274.05,211.06,294.91,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.15,0.85,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.15 clipS=0.85,235.75,267.16,2.74,27946485.0,266.6,214.23,291.32,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.0,1.1,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.00 clipS=1.10,229.44,266.36,2.493,29840530.0,288.39,193.57,287.06,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,1.0,1.15,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=1.00 clipS=1.15,226.17,264.51,2.429,30310708.0,284.04,196.84,281.21,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,0.9,1.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=0.90 clipS=1.00,221.7,256.24,2.533,28222992.0,272.13,171.06,292.41,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,0.85,1.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=0.85 clipS=1.00,213.04,247.72,2.479,27608285.0,269.09,149.72,287.16,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,0.9,1.1,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=0.90 clipS=1.10,212.91,250.25,2.388,28900066.0,288.8,172.34,264.1,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,10,2.0,0.85,1.15,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 adapt=10@2.00 clipL=0.85 clipS=1.15,201.5,240.6,2.27,28768988.0,281.27,159.39,246.56,False
